hour,load
1,218500
2,231300
3,376800
4,406600
5,252100
6,388500
7,402100
8,402300
9,162800
10,241400
11,236900
12,375500
13,40000
14,153800
15,194100
16,177000
17,400400
18,191400
19,278600
20,222700
21,324500
22,169400
23,325000
24,201600
25,154600
26,156800
27,132000
28,154500
29,155900
30,135900
31,155100
32,154600
33,-61900
34,257500
35,113600
36,89300
37,19500
38,176900
39,179900
40,35200
41,126700
42,56800
43,49400
44,120000
45,236900
46,93800
47,265000
48,133200
49,262700
50,130400
51,92700
52,196900
53,191100
54,69000
55,81700
56,82900
57,-137300
58,150200
59,148800
60,37200
61,-35600
62,20500
63,108100
64,-35000
65,76900
66,92000
67,7700
68,-53900
69,127500
70,28100
71,50000
72,53900
73,58000
74,146000
75,41500
76,66000
77,70000
78,137200
79,152800
80,72900
81,-160100
82,185000
83,82200
84,75800
85,-24800
86,76300
87,215600
88,13800
89,159400
90,84900
91,218000
92,42400
93,152600
94,124900
95,300700
96,302900
97,161900
98,165300
99,143800
100,311500
101,309200
102,286900
103,301500
104,298800
105,-117900
106,271400
107,135100
108,117400
109,43500
110,92000
111,219300
112,73700
113,135700
114,168700
115,141500
116,2600
117,217400
118,87200
119,121700
120,126200
121,132700
122,261800
123,251600
124,156800
125,308000
126,298500
127,176300
128,342900
129,2800
130,168200
131,158400
132,131900
133,1700
134,108900
135,131200
136,135600
137,195500
138,259700
139,100400
140,56700
141,156200
142,125300
143,291300
144,294600
145,160200
146,160300
147,137100
148,161300
149,296800
150,140400
151,156900
152,155600
153,-121600
154,129700
155,261900
156,242200
157,41400
158,93800
159,228600
160,35500
161,132900
162,77600
163,65900
164,146500
165,259500
166,111900
167,281000
168,289800
169,164500
170,175700
171,316600
172,351900
173,201400
174,352500
175,377500
176,383900
177,39100
178,366800
179,183200
180,151700
181,15800
182,272900
183,278200
184,51300
185,54100
186,278600
187,274500
188,80200
189,367100
190,341400
191,378900
192,208600
193,214800
194,220900
195,204700
196,229500
197,235600
198,407400
199,423900
200,413400
201,53800
202,208200
203,201500
204,170900
205,99500
206,127100
207,283100
208,66100
209,58200
210,272000
211,117700
212,80800
213,342800
214,163000
215,198100
216,206600
217,217600
218,399400
219,208900
220,239000
221,246700
222,419200
223,448700
224,453600
225,-17800
226,236700
227,419900
228,383700
229,166800
230,330000
231,340700
232,89900
233,86600
234,162000
235,323900
236,284200
237,407200
238,384400
239,410400
240,416700
241,429300
242,247500
243,231700
244,457400
245,267200
246,454400
247,476000
248,475000
249,-1000
250,458500
251,441300
252,398000
253,61600
254,159200
255,174500
256,206800
257,266400
258,172400
259,334100
260,296400
261,400600
262,370600
263,406200
264,233400
265,428700
266,240400
267,218700
268,242700
269,245100
270,406800
271,428000
272,432800
273,-29800
274,226400
275,215100
276,346500
277,29000
278,275600
279,277900
280,131200
281,55800
282,263900
283,252900
284,217500
285,324600
286,145100
287,174900
288,177400
289,180600
290,332900
291,312500
292,338700
293,342200
294,323200
295,344200
296,343500
297,-95000
298,161000
299,159200
300,134800
301,68200
302,110700
303,126100
304,124300
305,56400
306,273500
307,116200
308,77200
309,183300
310,307200
311,185000
312,189000
313,193600
314,198100
315,341100
316,213700
317,229500
318,401400
319,428400
320,436300
321,88800
322,404700
323,201000
324,165300
325,121800
326,281000
327,130300
328,55700
329,209800
330,129400
331,128800
332,275500
333,213900
334,190500
335,413000
336,419800
337,438500
338,250700
339,232800
340,463200
341,266400
342,433900
343,427300
344,408400
345,-45900
346,204100
347,176400
348,127000
349,-11600
350,82900
351,84900
352,10000
353,142300
354,191100
355,61900
356,126200
357,107100
358,86400
359,237100
360,120300
361,252400
362,255700
363,237200
364,265400
365,273000
366,124100
367,143000
368,144900
369,-122000
370,265000
371,119000
372,92300
373,-23100
374,210100
375,92400
376,87400
377,37700
378,95000
379,233400
380,200100
381,312600
382,291100
383,173800
384,185100
385,197900
386,383500
387,379800
388,228700
389,235700
390,418400
391,455200
392,447100
393,-27100
394,226800
395,206200
396,347500
397,32700
